Rank,Accelerator Name & Link,Companies,Program Leader & LinkedIn Link,Typical Investment Terms,Program Fee,Program Length,Cohorts/Batches Per year,Company Types,Acceptance Rate (estimate),HQ Location,In-person Vs. Virtual,Top 3 Alumni,# of Alumni Exits,Rating
1,Y Combinator,7089,Garry Tan,$125K for 7% + $375K (uncapped),Free,12 weeks,4x per year,All,<1%,"Mountain View, CA, USA",In-person required,"Airbnb, Stripe, Dropbox",1500,25
2,A16Z Speedrun,224,Andrew Chen,"$750,000 for unknown equity stake",Free,12 weeks,2x per year,Gaming+,<1%,"Los Angeles, CA, USA",In-person required for specific program events,"Opendoor, Brex, Caffeine",Unknown,24
3,Sequioia Arc,2215,Alfred Lin,Investment terms not public,Free,12 weeks,1x per year,All,<1%,"San Francisco, CA, USA",In-person required for specific program events,"Pydantic, Flagship, Mindy",Unknown,22
4,Techstars,6168,David Cohen,"$20,000 for 6% (+ optional $100K on $3M)",Free,13 weeks,1-4x per year,All,1%,"Boulder, CO, USA",In-person required,"SendGrid, ClassPass, DigitalOcean",350,20
5,500 Global,3163,Christine Tsai,"$150,000 for 6%","$37,500",16 weeks,3x per year,All,<1%,"San Francisco, CA, USA",In-person required,"Canva, Grab, Talkdesk",110,20
6,Dreamit Ventures,321,Darren Sandberg,"$500,000 for 8%","$2,500",13 weeks,2x per year,All,3%,"Philadelphia, PA, USA",In-person required for specific program events,"LevelUp, HouseCall Pro, Elevate",70,20
7,Surge,208,Rajan Anandan,Up to $3 million for up to 15%,Free,16 weeks,2x per year,All,Unknown,"Bengaluru, India",In-person required,"Unacademy, OYO, Tejas Networks",23,19
8,HAX,610,Duncan Turner,"$250,000 for 10%",Free,20 weeks,2x per year,Hardware,<3%,"Shenzhen, China",In-person required,"Lumos, Makeblock, Simbe Robotics",30,19
,mHUB,,,"$200,000 for 6.5% ",Free,Varies,2x per year,Hardware,unknown,"Chicago, IL",Hybrid,N/A,n/a,
9,Seedcamp,606,Carlos Eduardo Espinal,"£120,000 for 7.5%",Free,12 weeks,2x per year,All,<1%,"London, United Kingdom",Virtual,"TransferWise, Revolut, UiPath",60,19
10,NFX,407,James Currier,$120K for 8%,No fee information available,12 weeks,3x per year,All,2%,"San Francisco, CA, USA",Virtual,"DoorDash, Mammoth Biosciences, Patreon",24,19
11,Cedars-Sinai Accelerator,88,Nirdesh K Gupta,"$100,000 for unknown terms",Free,12 weeks,Unknown,BioTech,Unknown,"Los Angeles, CA, USA",Hybrid (specifics not public),"LIVONGO, WELL Health, AppliedVR",25,19
12,Disney Accelerator,55,Bonnie Rosen,Investment terms not public,Free,30 weeks,1x per year,Media,<1%,"Los Angeles, CA, USA",In-person required for specific program events,"Epic Games, Playbuzz, Wakie",19,19
13,Soma Fellows,40,Aneel Ranadive,"Up to $1,000,000 for unknown equity",Free,12 weeks,2x per year,All,<1%,"San Francisco, CA, USA",In-person required,Unknown,Unknown,18
14,AI2 Incubator,50,Jacob Colker,"Up to $500,000 for unknown equity",Free,12 weeks,1x per year,Artificial Intelligence,<1%,"Seattle, WA, USA",In-person required,Unknown,Unknown,18
15,IndieBio,529,Po Bronson,$275K for 8%,"$50,000",16 weeks,2x per year,BioTech,5%,"San Francisco, CA, USA",In-person required 1 day/week,"NotCo, Memphis Meats, Geltor",20,18
16,Plug and Play,1948,Saeed Amidi,Investment terms not public.,Free,12 weeks,4x per year,All,<1%,"Sunnyvale, CA, USA",In-person required,"PayPal, Dropbox, N26",140,18
17,SkyDeck Berkeley,485,Caroline Winnett,$200K for 7.5%,"$5,000",24 weeks,2x per year,All,<3%,"Berkeley, CA, USA",In-person required,"Lime, Cerebras Systems, Flutterwave",30,18
18,Entrepreneur First,451,Alice Bentinck,$125K for 8%,Free,12 weeks,2x per year,All,3%,"London, United Kingdom",In-person required,"Tractable, Magic Pony Technology, Bloomsbury AI",100,18
19,MIT delta v,226,Lea Gabrielle Potts,"$20,000 grant",Free,14 weeks,1x per year,All,Unknown,"Boston, MA, USA",In-person required,"Ginkgo Bioworks, Formlabs, New Valence Robotics (NVBots)",24,18
20,HF0,25,Dave Fontenot,"$1,000,000 for 5% equity",Free,12 weeks,1x per year,All,<1%,"San Francisco, CA, USA",In-person required,Unknown,Unknown,17
21,SOSV,2816,William Bao Bean,"$250,000 for 8%","$40,000+ (varies by program)",16 weeks,2x per year,Deep Tech,<2%,"Princeton, NJ, USA",In-person required,"Revolut, NotCo, Formlabs",180,17
22,AngelPad,184,Thomas Korte,Investment terms not public.,Free,10 weeks,2x per year,All,Unknown,"San Francisco, CA, USA",In-person required,"Postmates, CoverHound, Grovo",60,17
23,Startmate,263,Michael Batko,$120K for 8%,Free,12 weeks,2x per year,All,5%,"Sydney, Australia",Hybrid (specifics not public),"Zoox, Morse Micro, Bright",40,17
24,MassChallenge,3205,Cait Brumme,Investment terms not public.,Free (non-profit),16 weeks,1x per year,All,<10%,"Boston, MA, USA",In-person required for specific program events,"Ginkgo Bioworks, Toast, Soofa",213,17
25,Antler,1560,Magnus Grimeland ,"$250,000 for 9% + matches 1:1 additional capital raised up to $250,000","$70,000",10 weeks,2x per year,All,<3%,Singapore,In-person required,"Fiverr, Flutterwave, Prospa",23,17
26,LAUNCH,554,Jason Calacanis,$100K for 6%,Free,6 weeks,4x per year,All,<1%,"San Francisco, CA, USA",Virtual,"Udemy, Marqeta, Thumbtack",10,17
27,Forum Ventures,474,Michael Cardamone,$100K for 7.5%,Free,12 weeks,2x per year,B2B SaaS,<3%,"New York City, NY, USA",Virtual,"Auth0, Buffer, MileIQ",25,17
28,StartX (Stanford-StartX Fund),338,Kyle Wong,Does not invest.,Free (non-profit),10 weeks,3x per year,All,8%,"Palo Alto, CA, USA",In-person required last 2 weeks of program,"Healthcare.ai, Kodiak Sciences, Lemonade",90,17
